x,y,z,timestamp,Beacon1,Beacon2
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3285,124,2025.03.05-21.21.36,-91,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1395,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1394,3284,124,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,125,2025.03.05-21.21.37,-92,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1393,3284,124,2025.03.05-21.21.38,-97,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1394,3283,125,2025.03.05-21.21.38,-91,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3282,125,2025.03.05-21.21.38,-95,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3284,124,2025.03.05-21.21.39,-94,-86
1395,3285,124,2025.03.05-21.21.39,-91,-86
1395,3285,124,2025.03.05-21.21.39,-91,-86
